I1,I3,I5,I7,I9,I11,I13,I15,I17,I19,I21,I23,I25,I27,I29,Target
0.2032,0.0728,0.0235,0,0.0038,0,0.001,0,0,0,0,0,0,0,0,2
0.2036,0.0606,0.0187,0,0.0057,0,0.0002,0,0,0,0,0,0,0,0,2
0.2136,0.0569,0.0194,0,0.0026,0,0.001,0,0,0,0,0,0,0,0,2
0.2221,0.0597,0.0193,0,0.0023,0,0,0,0,0,0,0,0,0,0,2
0.2046,0.0518,0.0162,0,0.0038,0,0,0,0,0,0,0,0,0,0,2
0.2041,0.0577,0.0158,0,0.0065,0.0007,0,0,0,0,0,0,0,0,0,2
0.2064,0.067,0.0195,0,0.0054,0,0,0,0,0,0,0,0,0,0,2
0.1932,0.0544,0.0183,0,0.0018,0,0.0009,0,0,0,0,0,0,0,0,2
0.2005,0.066,0.0215,0,0.0027,0,0.0003,0,0,0,0,0,0,0,0,2
0.1991,0.056,0.0178,0,0.0019,0,0.0002,0,0,0,0,0,0,0,0,2
0.2164,0.0628,0.0187,0,0.001,0,0.0001,0,0,0,0,0,0,0,0,2
0.1859,0.066,0.022,0,0.0026,0,0.0003,0,0,0,0,0,0,0,0,2
0.2061,0.0725,0.0242,0,0.0027,0,0.0006,0,0,0,0,0,0,0,0,2
0.1961,0.0524,0.0161,0,0.0028,0,0.0007,0,0,0,0,0,0,0,0,2
0.2028,0.0566,0.016,0,0.0006,0,0,0,0,0,0,0,0,0,0,2
0.3021,0.1221,0.0181,0.0233,0.0159,0,0.0131,0.0009,0.005,0.0003,0,0,0,0,0,3
0.2989,0.1224,0.0174,0.0236,0.0149,0,0.0123,0,0.005,0,0,0,0,0,0,3
0.3186,0.1252,0.0175,0.0224,0.0135,0,0.0115,0.0006,0.0041,0,0,0,0,0,0,3
0.3167,0.1259,0.0169,0.0234,0.0146,0,0.0108,0.0012,0.0057,0,0,0,0,0.0004,0,3
0.3185,0.1277,0.0187,0.023,0.0152,0,0.0115,0.0006,0.0037,0,0,0,0,0,0,3
0.3211,0.1246,0.018,0.0233,0.0147,0,0.0122,0.0015,0.0034,0,0,0,0,0,0,3
0.3146,0.1249,0.0173,0.0236,0.0158,0,0.0131,0.0021,0.0037,0,0,0,0,0,0,3
0.3149,0.126,0.0176,0.0239,0.0162,0,0.0127,0.0012,0.0059,0,0,0,0,0,0,3
0.3182,0.1255,0.0164,0.0225,0.0157,0,0.0122,0.0024,0.0052,0.0002,0,0,0,0,0,3
0.3103,0.1253,0.0165,0.0227,0.0173,0,0.0115,0.0035,0.0041,0.001,0,0,0,0,0.0005,3
0.3181,0.125,0.0158,0.0223,0.0172,0,0.0129,0.0025,0.0041,0.0004,0,0,0,0,0,3
0.3112,0.1239,0.0171,0.0237,0.0183,0,0.0117,0.0016,0.0033,0.0003,0,0,0,0,0,3
0.3113,0.1239,0.0154,0.0217,0.0171,0,0.0124,0.0032,0.0019,0,0,0,0,0,0,3
0.3136,0.1255,0.0136,0.0225,0.0167,0,0.0121,0.0024,0.0017,0,0,0,0,0,0,3
0.3181,0.1257,0.015,0.0227,0.0182,0,0.0102,0.0021,0.0017,0,0,0,0,0,0,3
0.3131,0.1239,0.0144,0.0222,0.0176,0,0.0111,0.0035,0.001,0,0,0,0,0,0,3
0.3077,0.1246,0.0147,0.0226,0.018,0,0.0105,0.0023,0.0003,0,0,0,0,0,0,3
0.3188,0.1244,0.0154,0.0217,0.0183,0,0.0105,0.003,0.0017,0.0015,0,0,0,0,0,3
0.305,0.1225,0.0155,0.0226,0.0167,0,0.0108,0.0013,0.0004,0,0,0,0,0,0,3
0.3114,0.1235,0.0149,0.0223,0.0172,0,0.0098,0.0021,0.0006,0,0,0,0,0,0,3
0.3077,0.124,0.0147,0.0234,0.0175,0,0.011,0.0025,0.0002,0,0,0,0,0,0,3
0.3089,0.124,0.0131,0.0222,0.0207,0,0.0096,0.0022,0.0003,0,0,0,0,0,0,3
0.3058,0.1236,0.0141,0.0209,0.0178,0.0002,0.0096,0.0026,0,0,0,0,0,0,0,3
0.3075,0.1242,0.014,0.023,0.0188,0,0.0084,0.0027,0,0,0,0,0,0,0,3
0.312,0.1234,0.0139,0.0213,0.0178,0,0.0088,0.0018,0,0,0,0,0,0,0,3
0.3097,0.1245,0.0142,0.0216,0.0171,0.0008,0.0063,0.0007,0,0,0,0,0,0,0,3
0.3066,0.1226,0.0139,0.0206,0.018,0.0006,0.0046,0,0,0,0,0,0,0,0,3
0.3107,0.1225,0.0149,0.022,0.0169,0,0.0082,0.0016,0,0,0,0,0,0,0,3
0.3114,0.123,0.0157,0.0226,0.0182,0,0.0079,0.0015,0,0,0,0,0,0,0,3
0.305,0.1232,0.0148,0.0221,0.0185,0,0.0079,0.0019,0.0006,0,0,0,0,0,0,3
0.3087,0.124,0.0148,0.0221,0.0192,0.0006,0.0097,0.0018,0,0,0,0,0,0,0,3
0.308,0.1235,0.0147,0.0243,0.0182,0,0.0106,0.0022,0.0009,0,0,0,0,0,0,3
0.3039,0.124,0.0166,0.0227,0.0188,0.0002,0.0092,0.0038,0.001,0,0,0,0,0,0,3
0.3065,0.1236,0.0149,0.0224,0.0178,0,0.0094,0.0014,0,0,0,0,0,0,0,3
0.3101,0.1234,0.014,0.0231,0.02,0.0007,0.0087,0.003,0,0,0,0,0,0,0,3
0.3104,0.1221,0.0136,0.0224,0.0186,0,0.0085,0.0019,0,0,0,0,0,0,0,3
0.3154,0.125,0.0138,0.024,0.0191,0.0001,0.0078,0.003,0,0,0,0,0,0,0,3
0.3165,0.1232,0.0151,0.0217,0.0185,0,0.0085,0.0009,0,0,0,0,0,0,0,3
0.3042,0.1235,0.0136,0.0208,0.0176,0,0.007,0.0004,0,0,0,0,0,0,0,3
0.3111,0.122,0.0129,0.0212,0.0164,0,0.0055,0,0,0,0,0,0,0,0,3
0.3043,0.1217,0.0156,0.0217,0.0174,0,0.0066,0,0,0,0,0,0,0,0,3
0.3033,0.1222,0.0149,0.021,0.0168,0,0.0062,0.0003,0,0,0,0,0,0,0,3
0.307,0.1211,0.0155,0.022,0.0168,0,0.0058,0.0009,0,0,0,0,0,0,0,3
0.3037,0.1215,0.0152,0.0209,0.0178,0,0.0053,0,0,0,0,0,0,0,0,3
0.308,0.1214,0.0151,0.0216,0.0167,0,0.0056,0.0004,0,0,0,0,0,0,0,3
0.3038,0.1217,0.0139,0.0207,0.0158,0,0.0059,0.0011,0,0,0,0,0,0,0,3
0.3047,0.1217,0.0147,0.0213,0.015,0,0.0063,0,0,0,0,0,0,0,0,3
0.3042,0.1196,0.0131,0.0216,0.0152,0,0.0066,0,0,0,0,0,0,0,0,3
0.3063,0.1205,0.0137,0.0199,0.0153,0,0.0028,0,0,0,0,0,0,0,0,3
0.3064,0.1206,0.0147,0.0196,0.0139,0,0.0027,0,0,0,0,0,0,0,0,3
0.3123,0.1224,0.0126,0.0202,0.0148,0,0.0033,0,0,0,0,0,0,0,0,3
0.3072,0.1217,0.0142,0.02,0.0151,0,0.0061,0.0002,0,0,0,0,0,0,0,3
0.3115,0.1225,0.0155,0.0215,0.0168,0.0001,0.0055,0,0,0,0,0,0,0,0,3
0.2941,0.12,0.0142,0.0215,0.0164,0,0.0059,0.0003,0,0,0,0,0,0,0,3
0.3079,0.1222,0.0149,0.0225,0.0176,0,0.0079,0.0012,0,0,0,0,0,0,0,3
0.304,0.1247,0.0139,0.0202,0.0174,0,0.0083,0.0019,0,0,0,0,0,0,0,3
0.3095,0.1239,0.0145,0.0235,0.018,0,0.0111,0.0029,0,0,0,0,0,0,0,3
0.312,0.1239,0.0162,0.0215,0.02,0,0.009,0.0016,0.0002,0,0,0,0,0,0,3
0.3088,0.1249,0.0148,0.0218,0.0199,0,0.0105,0.0018,0,0,0,0,0,0,0,3
0.3075,0.1227,0.0139,0.0221,0.0189,0.0007,0.0099,0.0031,0,0.0002,0,0,0,0,0,3
0.3039,0.1229,0.0142,0.0213,0.0195,0,0.0107,0.0036,0,0,0,0,0,0,0,3
0.3031,0.1239,0.0146,0.0233,0.0192,0,0.012,0.0022,0.0005,0,0,0,0,0,0,3
0.3125,0.122,0.0144,0.0238,0.0199,0.002,0.0126,0.0043,0.0005,0,0,0,0,0,0,3
0.3052,0.122,0.0133,0.0238,0.0208,0.0016,0.0123,0.0065,0.0019,0.0015,0,0,0,0,0.0001,3
0.3094,0.1243,0.0136,0.0226,0.0209,0.0014,0.0112,0.0046,0,0,0,0,0,0,0.0002,3
0.3051,0.1223,0.0142,0.0232,0.0201,0.0016,0.0113,0.0057,0.0001,0.0002,0,0,0,0,0.0002,3
0.3045,0.1241,0.0141,0.0226,0.0197,0.0004,0.0127,0.0024,0.0005,0.0001,0,0,0,0,0,3
0.2892,0.1214,0.0148,0.024,0.0213,0.0023,0.0107,0.0043,0,0.0007,0,0,0,0,0.0001,3
0.3018,0.1253,0.0145,0.0218,0.022,0,0.0121,0.0046,0.0015,0.0004,0,0,0,0,0.0015,3
0.3049,0.1239,0.0139,0.0225,0.021,0.0033,0.011,0.0049,0.0005,0.0004,0,0,0,0,0.0006,3
0.3032,0.1241,0.015,0.0243,0.0213,0.0031,0.0112,0.0053,0,0.0001,0,0,0.0009,0,0.0015,3
